dsc_item,n
"BISCOITO DE SAL TIPO AGUA E SAL COM 1,5KG",1
BISCOITO INFANTIL SEM GLUTEN SEM LACTOSE E SEM OVOS INGREDIENTES FARINHA DE MILHO FARINHA DE ARROZ MARGARINA VEGETAL [GORDURAS E OLEOS VEGETAIS PALMA PALMISTE COCO CANOLA EM PROPORCOES VARIAVEIS AGUA SAL EMULSIFICANTE MONO E DIGLICERIDEOS DE ACIDOS GRAXOS AROMATIZANTE] ACUCAR FECULA DE BATATA AMIDO DE MILHO XAROPE DE BETERRABA AMIDO DE ARROZ FERMENTOS QUIMICOS BICARBONATO DE AMONIO BICARBONATO DE SODIO AMIDO DE MILHO MODIFICADO SAL AROMATIZANTE EMBALAGEM DE NO MINIMO 125G,1
"BISCOITO SALGADO TIPO AGUA E SAL, - BISCOITO SALGADO TIPO AGUA E SAL, EM PERFEITO ESTADO DE CONSERVACAO, SERAO REJEITADOS BISCOITOS MAL COZIDOS, QUEIMADOS, NAO PODENDO APRESENTAR EXCESSO DE DUREZA E NEM SE APRESENTAR QUEBRADICO. EMBALADOS EM P",1
"BISCOITO SALGADO TIPO CREAM-CRACKER SEM GLUTE EMBALAGEM 400 GRAMAS. INGREDIENTES: CEREAL ISENTO DE GLUTEN (ARROZ/ FECULA DE MANDIOCA ETC), LEITE, GORDURA VEGETAL HIDROGENADA, QUEIJO, AGUA, OVOS, SAL E AROMATIZANTE. NAO PODERA CONTER NENHUM INGREDIENTE QUE CONTENHA GLUTEN. NA EMBALAGEM DEVERA CONTER AS SEGUINTES INFORMACOES: INDICACAO DO FABRICANTE, INGREDIENTES, DATA DE VALIDADE E PESO. VALIDADE MINIMA DE 12 MESES A CONTAR DA DATA DA ENTREGA DO PRODUTO.",1
"BISCOITO SALGADO, TIPO AGUA E SAL EMBALAGEM DE 400 GR",1
"BISCOITO SEM LACTOSE, 400G. INGREDIENTES: FARINHA DE TRIGO ENRIQUECIDA COM FERRO E ACIDO FOLICO, ACUCAR, AGUA, GORDURA VEGETAL HIDROGENADA ZERO TRANS, ACUCAR INVERTIDO, ESTABILIZANTE LECITINA DE SOJA, FERMENTOS QUIMICOS, SAL, METABISSULFITO DE SODIO, AROMA ARTIFICIAL DE BAUNILHA, PROTEINASES, VITAMINAS (B1,B2,B6 E PP). SEM COLESTEROL, SEM LACTOSE E SEM PROTEINA DO LEITE. ISENTO DE PRODUTOS DE ORIGEM ANIMAL. CONTEM GLUTEN. ALERGICOS: CONTEM TRIGO. PODE CONTER DERIVADOS DE CEVADA, AVEIA, SOJA E CENTEIO. CAIXA COM 20 UNIDADES DE 400G.",1
"BISCOITO SEQUILHOS, COM AMIDO DE MILHO, ACUCAR CRISTAL, AGUA, FARINHA DE TRIGO ENRIQUECIDA COM FERRO E ACIDO FOLICO, MARGARINA DE PALMA, LEITE EM PO INTEGRAL, OVO INTEGRAL EM PO, FERMENTOS QUIMICOS), SAL, AROMA IDENTICO AO NATURAL DE BAUNILHA.",1
BISCOITO TIPO AGUA E SAL,1
BISCOITO TIPO AGUA E SAL BISCOITO  APRESENTACAO TIPO AGUA E SAL  PCT DE 375 G,1
"BISCOITO, AGUA E SAL 370 GR",1
"BISNAGA DE CORANTE LIQUIDO - 50 ML PIGMENTO CORANTE DE ALTO PODER DE TINGIMENTO E RESISTENCIA, PARA COLORIR TINTAS BASE D'AGUA.  RENDIMENTO: APROXIMADAMENTE ATE 1 BISNAGA POR GALAO DE 3,6 LITROS DE TINTA.  COR: AMARELO",1
"BLOCO DE NOTAS, EM TAMANHO A5, PAPEL BRANCO, GRAMATURA 90 GRAMAS, MARCA D'AGUA PRETO E BRANCO, COM 10 FOLHAS CADA",1
"BLOQUEADOR INFLAVEL , BLOQUEADOR INFLAVEL PARA TUBOS DE 200 A 400MM COMPLETO. EM TUBULACOES DE AGUA OU ESGOTO NOS SERVICOS DE MANUTENCAO COM REDE EM CARGA SERA FORNECIDO COMPLETO COM MANUAL. O NOME OU MARCA DE IDENTIFICACAO DO FABRICANTE DEVERA SER GRAVADO DE FORMA VISIVEL E INDELEVEL. BLOQUEADOR INFLAVEL FABRICADO COM ARAMIDA COM BORRACHA NATURAL SUPER RESISTENTE (KEVLAR), COM RANHURAS. -DIAMETRO 200MM A 400MM. -ANEIS RESISTENTES PARA A CONEXAO DE CABO PARA ICAMENTO -ENGATE RAPIDO DE ENTRADA PARA INFLAR O BLOQUEADOR -PRESSAO DE TRABALHO 2.5 (BAR). -DIAMETRO VAZIO 192MM -COMPRIMENTO 635MM -PESO 3.0 KG.",1
"BLOQUEADOR SOLAR FPS 30 - FRASCO 200 ML - AGUA, ACETATO DE VITAMINA E, ALCOOL ESTEARILICO, BENZONATO DE ALQUILA C12- 15, BIS-ETILEXILOXIFENOL METOXIFENIL TRIAZINA, BUTILCABORMATO DE IODOPROPINILA, BUTILENO GLICOL, CARBOMERO, POTASSIO FOSFATO DE SETILA,",1
BLUSA CINTURADA COM TIRAS PARA AMARRAR ATRAS  GOLA V E MANGA JAPONESA  BOLSO FRONTAL EM TECIDO CRETONE LINHOL VERDE AGUA  TAMANHO P  M E G,1
BOIA CAIXA D? AGUA 1/2,1
BOIA CX D AGUA 3/4,1
BOIA DE 1/2 PARA CAIXA D'AGUA,1
BOIA P/ CAIXA D'AGUA 20 MM BOIA P/ CAIXA D'AGUA 20 MM,1
BOIA P/ CAIXA D'AGUA DE 1/2. - 130050292,1
BOIA P/ CX D AGUA 1/2  HASTE METAL -,1
BOIA PARA CAIXA D'AGUA ?,1
"BOIA PARA CAIXA D'AGUA, COM BITOLA DE 1/2",1
"BOLA CAMPO SOCIETY, A PECA POSSUI 11 GOMOS FUSIONADOS ATRAVES DE UMA CAMADA DE DUPLA COLAGEM E CONTA COM AS TECNOLOGIAS KICK OFF, NEOGEL E TERMOTEC, GARANTINDO O QUIQUE IDEAL PARA GRAMA. ALEM DISSO, SUA CAMARA 6D E FABRICADA COM BORRACHA BUTILICA E APRESENTA 6 DISCOS POSICIONADOS SIMETRICAMENTE, ASSEGURANDO MAIOR EQUILIBRIO E ALTA PRECISAO. JA SEU MIOLO LUBRIFICADO E REMOVIVEL CONTA COM O SISTEMA CAPSULA SIS E CARREGA UM BICO ALONGADO QUE ISOLA A AGULHA E RETEM O AR. KICK OFF: OFERECE MAIOR PRECISAO EM PASSES E CHUTES, MENOR QUIQUE E MELHOR CONTROLE PARA O JOGADOR. TERMOTEC: 0% ABSORCAO DE AGUA E PERMITE O USO DA BOLA EM CONDICOES DE CHUVA INTENSA, GARANTINDO A PRECISAO E LEVEZA NA HORA DO CHUTE. NEOGEL:",1
"BOLA CAMPO, A PECA OFERECE UM TECIDO ECOLOGICO DESENVOLVIDO A PARTIR DE FIOS DE POLIESTER RECICLADOS DE GARRAFAS PET. CONTA COM A TECNOLOGIA TERMOTEC, SEM COSTURA, OFERECENDO FORMATO 100% ESFERICO, COM 0% ABSORCAO DE AGUA, ALTA DURABILIDADE E MACIEZ EXTRA. HA AINDA EM SUA ESTRUTURA O SISTEMA NEOTEC, COMPOSTO DE AMORTECIMENTO INTERNO EXCLUSIVO COM 4.5MM DE ESPESSURA QUE PROPORCIONA MAIOR CONFORTO AOS CHUTES E DIMINUI O IMPACTO NO CABECEIO. ALEM DISSO, O MIOLO E LUBRIFICADO E REMOVIVEL E CONTA COM O SISTEMA CAPSULA SIS, QUE ISOLA A AGULHA E PROTEGE A CAMARA. COMPOSICAO: POLIURETANO, TECNOLOGIA: TERMOTEC, MIOLO: REMOVIVEL E LUBRIFICADO, COSTURA: NAO, ORIGEM: NACIONAL, PESO APROXIMADO: 430- 450 G, CIRCUNFERENCIA APROXIMADA: 69 - 71 CM",1
"BOLA DE VOLEI CIRCUNFERENCIA 65/67 CM, PESO 260-280 GRAMAS EM MICROFIBRA SEM COSTURA, MIOLO SUBSTITUIVEL E ZERO ABSORCAO DE AGUA.",1
"BOLA FUTEBOL CAMPO TERMOTEC - GENERO:  UNISSEX, TIPO: CAMPO.TECNOLOGIA: TERMOTEC, DEFINICAO DA TECNOLOGIA: COM 0% DE ABSORCAO DE AGUA, A TECNOLOGIA PERMITE O USO DA BOLA EM CONDICOES DE CHUVA INTENSA, GARANTINDO A PRECISAO E LEVEZA NA HORA DO CHUTE, COMPOSICAO: POLIURETANO, PESO DO PRODUTO: 410-450 G, COSTURA: SEM COSTURA, CIRCUNFERENCIA: 68-70 CM, GARANTIA DO FABRICANTE: 30 DIAS, DEFEITO DE FABRICACAO, ORIGEM: NACIONAL. (SIMILAR OU DE QUALIDADE SUPERIOR A MARCA E MODELO PENALTY S11 R1 OU PENALTY BRASIL 70 PRO)",1
BOLA LISA PARA PROPRIOCEPCAO DE CORACAO IDEAL PARA:  - FISIOTERAPIA   - EXERCICIOS DE FORCA  COORDENACAO E PROPRIOCEPCAO   - USO NA AGUA OU PISCINA - HIDROTERAPIA E HIDROGINASTICA   - MELHORA A CIRCULACAO SANGUINEA   - IDEAL PARA MASSA,1
BOLACHA DE AGUA E SAL PCT,1
"BOLO SABOR NATURAL. - BOLO SABOR NATURAL, COM PESO APROXIMADO DE 500G A 600G, CONTENDO OS INGREDIENTES: FARINHA DE TRIGO ENRIQUECIDA COM FERRO E ACIDO FOLICO, MARGARINA, FERMENTO, ACUCAR, AGUA OU LEITE, OVOS. O PRODUTO DEVER ESTAR ACONDICIONADO EM EM",1
BOLSA AGUA QUENTE 01LT,1
BOLSA DE AGUA QUENTE 2 LITROS,1
"BOLSA DE COLETA BOLSA DE POLIETILENO PARA COLETA DE AGUA (BOLSA PLASTICA, COM TARJA DE IDENTIFICACAO, ESTERILIZADA, NAO FLUORESCENTE, COM PASTILHA NAO TOXICA DE TIOSSULFATO DE SODIO - 10MG, CAPACIDADE 100ML, MEDIDAS 7,5X18,5CM, COM SISTEMA DE FECHAMENTO  TENCTURE TROOF TABS  NA PARTE SUPERIOR). OBSERVACOES: SOLICITAR CERTIFICADO DE QUALIDADE, DATA DE FABRICACAO, VALIDADE E NUMERO DO LOTE.",1
"BOLSA DE GEL KIT 2 BOLSAS TERMICA DE GEL QUENTE OU FRIA 13X18 CMA BOLSA TERMICA DE GEL SUBSTITUI A BOLSA DE AGUA QUENTE TRADICIONAL COM VANTAGENS: NAO VAZA, MANTEM A TEMPERATURA POR MAIS TEMPO QUE A AGUA E PODE SER USADA QUENTE OU FRIA. COMPOSICAO: PRODUTO ATOXICO -  GEL A BASE DE CELULOSE VEGETAL .CONTEUDO DA EMBALAGEM: 02 -  BOLSA TERMICA DE GEL QUENTE OU FRIA",1
BOLSA P/ AGUA QUENTE 20 X 30,1
"BOLSA TERMICA PARA COMPRESSA DE AGUA QUENTE EM BORRACHA 250ML / TAMANHO DE 21,5X12,5CM.",1
BOMBA AGUA PARA BRISA KOMBI ESCOLAR HLF 9671 BOMBA AGUA PARA BRISA  KOMBI ESCOLAR HLF 9671,1
BOMBA D AGUA,1
BOMBA D AGUA  - SANDEIRO 1.0 16V ANO 2013,1
BOMBA D AGUA  14  - MICRO LO 712 MB 2005 - HMG 6784 - EDUCACAO - LOTE 14,1
BOMBA D AGUA DUCATO,1
BOMBA D AGUA JCB 214 -,1
BOMBA D AGUA M.BENZ 1418- 1990/1991,1
BOMBA D AGUA MOTOR VW GOL 1.0 PUJ-4899 14/15,1
BOMBA D AGUA PARA RENAULT CLIO 1.0 16V FLEX ANO 2010.,1
BOMBA D AGUA UNO MILLE WAY 2012,1
BOMBA D' AGUA LOTE 2,1
BOMBA D'AGUA  - FORD CURRIER PARA FORD CURRIER L 1.6 TOTAL FLEX 2010/2010,1
BOMBA D'AGUA - 07W121011A,1
BOMBA D'AGUA - 16,1
BOMBA D'AGUA - FIAT,1
BOMBA D'AGUA MOTOR 71100619,1
BOMBA D'AGUA Nº 55225126,1
BOMBA D'AGUA PARA FIAT SIENA ANO/MODELO 2014/2015 PLACA PUG - 4342.,1
BOMBA D'AGUA.,1
BOMBA D.AGUA PALIO,1
BOMBA D? AGUA,1
BOMBA D?AGUA ..,1
BOMBA D?AGUA MOTOR,1
BOMBA DE AGUA   PATROL 319    4891252 BOMBA DE AGUA   PATROL 319    4891252,1
BOMBA DE AGUA 6909,1
BOMBA DE AGUA DOBLO,1
BOMBA DE AGUA ORIG. P SCANIA HUBER WABCO/ VW 15190 / IVECO,1
BOMBA PARA AGUA 3/4 50MT,1
BOMBA SUBMERSA 450 WATTS PARA AGUA LIMPA - 900 5 G 220 V,1
"BOMBA SUBMERSA PARA CAPTACAO DE AGUA POTAVEL EM POCOS PROFUNDOS TUBULARES COM POTENCIA 5 CV, VOLTAGEM 220 V, RPM 3460, FREQUENCIA 60 HZ, MONOFASICO, CLASSE Y, FS: 1.2, CORRENTE 31 4 A, CORRENTE (IFS) 323 A, REG. CONTINUO, TEMPERATURA MAXIMA AGUA 40º C",1
"BOMBA TORNEIRA PARA GARRAFAO GALAO DE AGUA 10 E 20 LITROS: FUNCIONAMENTO SIMPLES. DE ENCAIXE NA BOCA DO GALAO DE AGUA DE 10 OU 20 LITROS, SEM TER A NECESSIDADE DE VIRA-LO. O ACIONAMENTO DA BOMBA E FEITO A PARTIR DE UM BOTAO ACIONADOR NA PARTE SUPERIOR.",1
"BOTA CANO CURTO N°40 (PAR),FEITA EM EVA- MATERIAL EMBORRACHADO E CONFORTAVEL,LEVE,APROPRIADO PARA QUEM TRABALHA  MUITO TEMPO EM PE,TOTALMENTE VEDADA ,COMPATIVEL PARA QUEM TRABALHA EM CONTATO COM A AGUA,CALCADO FECHADO-DE ACORDO COM A NR-32,SOLADO ANTIDERRAPANTE.PROTECAO DOS PES DO USUARIO CONTRA RISCOS DE NATUREZA LEVE.POSSUIR (CA) NA BOTA,COR BRANCA.",1
"BOTA DE UNNA BANDAGEM INELASTICA, IMPREGNADA POR OXIDO DE ZINCO - EM ROLO AGUA DESTILADA, GLICEROL, ALCOOL, CETO ESTEARILICO, CETOMACROGOL, OLEO MINERAL, GOMA DE GUAR, GOMA DE XANTINA, METIL PARA MICROXILOENOATO E PROPIL-PARA HIDROXILOENOATO BANDAGEMPARA BOTA DE UNNA, COMPOSTA POR ALGODAO NAO TECIDO, INELASTICA, EMBALADA INDIVIDUALMENTE, IMPREGNADA COM PASTA CONTENDO: OXIDO DE ZINCO 10%, AGUA DESTILADA, GLICERIOL, GOMA DE GUAR, GOMA DE XANTINA. TAMANHO : 7,5 CM X 9 METROS",1
"BOTA DE UNNA- BANDAGEM IMPREGNADA COM PASTA A BASE DE OXIDO DE ZINCO, GOMA ACACIA, GLICEROL. OLEO DE RICINIO E AGUA DEIONIZADA 7,5CM X 6CM-318527",1
"BRILHO ALUMINIO. COMPOSICAO: ACIDO, DODECIL BENZENO SULFONICO, ESPESSANTE, COADJUVANTE, FRAGRANCIA, PRESERVANTE, CORANTE E AGUA. COMPONENTE ATIVO: ACIDO DODECIL BEZENO ACIDO SULFONICO PH A 1%P/P (25 C) 2,0 A 3,0. ASPECTO FISICO LIQUIDO, ODOR CARACTERISTICO. EMBALAGEM COM 500 ML.",1
BUCHA DE REDUCAO PVC SOLD. CURTA DE 50MM X 40MM (AGUA),1
"CABINE  PARA SER UTILIZADA EM 03 (TRES) OU MAIS DIAS DE EVENTO: CABINE DE BANHEIRO QUIMICO, EM POLIE CABINE  PARA SER UTILIZADA EM 03 (TRES) OU MAIS DIAS DE EVENTO: CABINE DE BANHEIRO QUIMICO, EM POLIETILENO, MODELO STANDARD. EQUIPADO COM PAPEL HIGIENICO, DESINFETANTE QUIMICO, PISO ANTIDERRAPANTE E SINALIZACAO LIVRE/OCUPADO, EM PERFEITO ESTADO (NAO SERA ACEITA CABINE COM PORTAS SEM FECHADURA OU DANIFICADO). O BANHEIRO DEVERA TER ASSEPSIA COM CAMINHAO TANQUE, EQUIPADO COM AGUA PARA HIGIENIZACAO DAS CABINES. A LIMPEZA DEVERA SER COMPLETA DURANTE TODOS OS DIAS DURANTE O EVENTO. UMA UNICA VEZ POR DIA. A EMPRESA DEVERA TER LICENCA AMBIENTAL (APRESENTADO JUNTAMENTE COM A PROPOSTA) PARA COMPROVACAO DO TRATAMENTO DOS DEJETOS.",1
"CAFETEIRA PARA CAFE EXPRESSO E CAPPUCCINO COM RESERVATORIO DE APROXIMADAMENTE 2 LITROS DE AGUA, COM VAPORIZADOR, COM CAPACIDADE DE 2 XICARAS DE CADA VEZ, UTILIZACAO DE PO DE CAFE MOIDO OU SACHE, POTENCIA DE 800W DIMENSOES APROXIMADAS DO PRODUTO - CM (AXLXP) 30X25X27CM",1
CAIXA D  AGUA DE POLIETILENO-CAPACIDADE 310L,1
CAIXA D AGUA,1
CAIXA D AGUA 1000 L E POLIETILENO COM TAMPA,1
CAIXA D AGUA 1000 LITROS  - CAIXA D AGUA EM POLIETILENO DE 1000 LITROS COM TAMPA,1
CAIXA D AGUA 310 LITROS (190035010942120),1
CAIXA D AGUA 310 LT C/ TAMPA,1
CAIXA D AGUA DE 10.000 LITROS - CAIXA D AGUA EM POLIETILENO DE 10.000 LITROS COM TAMPA,1
"CAIXA D AGUA DE FIBRA DE VIDRO, PARA 500 LTS COM TAMPA -",1
CAIXA D AGUA DE POLIETILENO 1000 LTS,1
CAIXA D AGUA DE POLIETILENO 310 L,1
CAIXA D AGUA EM POLIETILENO DE 1000 LITROS COM SISTEMA DE TRAVAMENTO ENCAIXE DAS TAMPAS,1
CAIXA D AGUA POLIETILENO C TAMPA 1000 LITROS 74251,1
CAIXA D AGUA POLIETILENO DE 1000,1
CAIXA D AGUA POLIETILINO 1000 LITROS - CAIXA D AGUA POLIETILINO 1000 LITROS,1
CAIXA D AGUA PVC 1000L,1
CAIXA D' AGUA 310 LITROS EM POLIETILENO.,1
CAIXA D' AGUA 5.000L POLIETILENO. CAIXA D' AGUA 5.000L POLIETILENO.,1
CAIXA D'AGUA - 1000 LTS,1
CAIXA D'AGUA 1.000L POLIET.,1
CAIXA D'AGUA 1000 LT (POLIETILENO),1
CAIXA D'AGUA 1000 LTS RT,1
CAIXA D'AGUA 1000L POLIETILENO,1
CAIXA D'AGUA 1000LT. POLIET.,1
"CAIXA D'AGUA 15.000LT - EM POLIETILENO, COM TAMPA",1
CAIXA D'AGUA 250 LTS,1
CAIXA D'AGUA 3000 L,1
CAIXA D'AGUA 310 LITROS,1
"CAIXA D'AGUA 500 LT,  POLIETILENO",1
CAIXA D'AGUA 5000 L,1
CAIXA D'AGUA 500LT,1
CAIXA D'AGUA DE FIBRA 500 L REDONDA C TAMPA,1
CAIXA D'AGUA DE POLIETILENO 2500 LT,1
"CAIXA D'AGUA DE POLIETILENO COM TAMPA, COM CAPACIDADE PARA 250 LITROS DE AGUA",1
CAIXA D'AGUA FIBRA 1000 L CAIXA D'AGUA FIBRA 1000 L,1
CAIXA D'AGUA FIBRA 1000 LTS,1
CAIXA D'AGUA FIBRA 3000 L,1
CAIXA D'AGUA FIBRA 500L C/ TAM,1
CAIXA D'AGUA POLIETILENO 310L,1
"CAIXA D'AGUA POLIETILENO 500 LITROS COM TAMPA, NA COR AZUL.",1
CAIXA D'AGUA POLIETILENO 500L,1
CAIXA D'AGUA PVC 10.000 LTS,1
CAIXA D'AGUA PVC 250 LITROS C,1
CAIXA D'AGUA TANQUE 2.500 LT EM POLIETILENO,1
"CAIXA D'AGUA, 1000 LITROS - POLIETILENO",1
CAIXA D? AGUA POLIETILENO 250 LTS,1
"CAIXA D?AGUA, PLASTICA POLIETILENO COR AZUL 500L.",1
CAIXA DAGUA POLIETILENO 250 LITROS CAIXA D'AGUA POLIETILENO 250 LITROS,1
CAIXA DE AGUA,1
CAIXA DE AGUA  POLIETILENO 250 L,1
CAIXA DE AGUA EM POLIETILENO 500L,1
CAIXA DE AGUA FIBRA 500 LITROS,1
CAIXA DE AGUA MODELO GARRAFAO 1000 LTS. - 00400010001978,1
CAIXA DE D' AGUA FIBRA DE 10.000,1
CAIXA DE POLIETILENO PARA ARMAZENAMENTO DE AGUA COM CAPACIDADE DE 2000 LT,1
CAIXA DE REVELACAO DE FILMES RADIOGRAFICOS ODONTOLOGICOS CAMARA ESCURA CONTENDO RECIPIENTES COM  TAMPA PARA AGUA REVELADOR E FIXADOR CONFECCIONADA EM MATERIAL DE FACIL LIMPEZA E PASSIVEL DE DESINFECCAO,1
CAIXA D`AGUA 1000 LTS,1
CAIXA D`AGUA DE POLIETILENO 5000 LITROS,1
"CAIXA TERMICA - C/ TERMOMETRO FIXO. EFICIENCIA TERMICA -> ISOLAMENTO EM POLIURETANO. EFICIENCIA TERMICA MUITO MAIOR DO QUE AS CAIXAS COM ISOLAMENTO EM EPS (ISOPOR). ALCA SUPERIOR RETRATIL -> FACIL TRANSPORTE. TAMPA REVERSIVEL QUE SERVE DE BANDEJA COM 2 PORTA COPOS QUANDO INVERTIDA. CARACTERISTICAS GERAIS (TERMOMETRO): DIGITAL DE MAXIMA E MINIMA -> INSTRUMENTO DE QUALIDADE COMPROVADA. VISOR DE FACIL LEITURA. PROVA D`AGUA. POSSUI FUNCAO ºC/ºF. ESPECIFICACOES (CAIXA): CAPACIDADE: 4,7 LITROS. DIMENSOES DESCONSIDERANDO A ALCA (COMP. X LARG. X ALT.): 25 X 19 X 18 CM. PESO: 720 G. GARANTIA: 6 MESES. ESPECIFICACOES (TERMOMETRO): FAIXA DE UTILIZACAO: -50+70ºC. PRECISAO: +/- 1ºC (ENTRE -20+50ºC) E +/- 2ºC (ACIMA DE 50ºC). ALIMENTACAO: 1 PILHA AA (INCLUSA).",1
"CAIXA TERMICA COM TERMOMETRO DIGITAL 45 LITRO CAIXA TERMICA COM TERMOMETRO DIGITAL 45 LITRO TRAZ EM SUA COMPOSICAO O ISOLAMENTO TERMICO, ALEM DE SER LEVE, ATOXICA E DE FACIL HIGIENIZACAO. DESENVOLVIDA EM MODELO COMPACTO DE 45 LITROS, POSSUI ALCA RIGIDA COM TRAVA DE SEGURANCA QUE IMPEDE A ABERTURA ACIDENTAL DA TAMPA E PERMITE TOTAL VEDACAO. -CAIXA TERMICA COM TERMOMETRO EXTERNO QUE MEDE A TEMPERATURA ATUAL, MAXIMA E MINIMA DO CONTEUDO INTERNO -TERMOMETRO DE MAXIMA E MINIMA -PRODUZIDO EM MATERIAL DE ALTA RESISTENCIA -REVESTIMENTO INTERNO EM POLIURETANO (PU) QUE AUXILIA NO ISOLAMENTO TERMICO -CAPACIDADE PARA 15 LITROS -FACIL HIGIENIZACAO -TEMPERATURA EXTERNA ATRAVES DE CABO E SENSOR -MAXIMA E MINIMA -FUNCAO ºC/ºF -IMA DE FIXACAO EM OBJETOS METALICOS -RESISTENCIA A AGUA.",1
"CAL HIDRATADA PARA TRATAMENTO DE AGUA - CA (OH) 2 - 90,00%  MINIMO MG (OH) 2 - 2,2% MAXIMO CACO3 - 5,0% MAXIMO GRANULOMETRIA: MAXIMA 2,2% RETIDO EM PENEIRA DE 0,149 MM.",1
CALCA DE BRIM LEVE COR VERDE AGUA,1
CALCADO CARACTERITICO CALCADO CARACTERISTICAS: CALCADO PARA PROTECAO CONTRA IMPACTOS DE QUEDAS DE OBJETOS SOBRE OS ARTELHOS  CALCADO PARA PROTECAO DOS PES CONTRA AGENTES TERMICOS  CALCADO PARA PROTECAO DOS PES CONTRA AGENTES ABRASIVOS E ESCORIANTES  CALCADO PARA PROTECAO DOS PES CONTRA AGENTES CORTANTES E PERFURANTES  CALCADO PARA PROTECAO DOS PES E PERNAS CONTRA UMIDADE PROVENIENTE DE OPERACOES COM USO DE AGUA  CALCADO PARA PROTECAO DOS PES E PERNAS CONTRA RESPINGOS DE PRODUTOS QUIMICOS. IMPERMEABILIZADOS COM PONTA REFORCADA COM ACO. NUMEROS DE 35 A 46 (CONFORME NECESSIDADE ESPECIFICADA NO PEDIDO),1
"CALCULADORA, PROTECAO CONTRA AGUA E POEIRA, 12 DIGITOS, TIPO MESA, CONFORMIDADE COM A IEC 60529 IP 54, 34(H) X 139(W) X 187,5(D)MM - ACAO SOCIAL",1
"CAMINHAO CARROCERIA IVECO TECTOR 170 E22, ANO: 2014, PLACA: PVO-1115. CHASSI: 93ZA1RGH0E8927064-RADIADOR DE AGUA",1
"CAMINHAO IVECO TECTOR 9-190, PLACA: QXK-9E85. ANO: 2019/2020. CHASSI: 93ZA085DZL8937082-RADIADOR DE AGUA",1
"CAMISA CONFECCIONADA EM MALHA PV OU PP, CONFORTAVEL E QUE GARANTA A QUALIDADE DO COLORIDO NA ESTAMPARIA -COR VERDE AGUA MANGA COM DOBRA NA MANGA E GOLA NA COR BRANCA PARA CRIANCA DE 11 E 12 ANOS",1
"CAMISOLA HOSPITALAR - PARA PACIENTE ADULTO, EM CRETONE LISO, 100% ALGODAO MINIMODE 180 FIOS, GRAMATURA MINIMA DE 170 GR/M2, CONFECCAO E APRESENTACAO DE 1  QUALIDADE. TAMANHO P, COM LOGOMARCA NA FRENTE, RESISTENTE A MULTIPLAS LAVAGENS, SOLIDEZ AO CLORO, TIPO BATA, ABERTURA FRONTAL, FECHAMENTO TRESPASSADO, COR VERDE AGUA.",1
CAMISOLA TAM INF TRANSPASSADA TECIDO MISTO 160 F CORES BRANCA E VERDE AGUA,1
"CANETA ESFEROGRAFICA ESCRITA MEDIA COR AZUL - CANETA ESFEROGRAFICA - ESCRITA: MEDIA, TINTA A BASE DE AGUA  CORPO: PLASTICO, MEDINDO COM TAMPA APROXIMADAMENTE 14CM  COMPOSICAO: CARGA ATOXICA, NA COR AZUL  TAMPA NA MESMA COR DA TINTA E COM RESPIRO ANTI-ASFIXIANTE  GRAVADA NO CORPO A MARCA DO FABRICANTE",1
"CANETA GEL DOURADA OU PRATA TINTA GEL, RESISTENTE A AGUA E LUZ, GRIP TRIANGULAR EMBORRACHADO, FLUXO DE TINTA SUAVE E CONSTANTE, REFIL AUTO-LIMPANTE, PERMITINDO QUE TODA A TINTA SEJA UTILIZADA.",1
"CANETA HIDROCOR PONTA MEDIA E RESISTENTE, TAMPA ANTISFIXIANTE, VEDACAO ADEQUADA PAVIO ACETATO CORPO E TAMPA RESINA TERMOPLASTICA, PONTA FINA DE POLIESTER, BASE DE AGUA, ATOXICA LAVAVEL, CORES VIVA, CAIXA C/12",1
"CANETA HIDROGRAFICA - ESTOJO COM 12 CORES, A BASE DE AGUA, MEDINDO APROXIMADAMENTE 14CM, PONTA 4,0MM, ESCRITA 1,8MM, TINTA A BASE DE AGUA, NAO RECARREGAVEL, ATOXICO, VALIDADE DE NO MINIMO 02 ANOS CONTADOS A PARTIR DA DATA DE ENTREGA, TAMPA APR",1
"CANETA HIDROLOCOR . PONTA MEDIA E RESISTENTE, ATOXICA, COM TAMPA, FABRICADA A BASE DE AGUA, C/ 24 CORES",1
CANETA MARCA TEXTO  FLUORESCENTE  PONTA CHANFRADA  COM 2 POSSIBILIDADES DE LARGURA DOS TRACOS (TRACO CANETA MARCA TEXTO  FLUORESCENTE  PONTA CHANFRADA  COM 2 POSSIBILIDADES DE LARGURA DOS TRACOS (TRACOS LARGOS E FINOS)  TINTA A BASE DE AGUA ESPESSURA DO TRACO FINO DE 1 0MM E TRACO LARGO DE 4 5MM PONTA EM POLIETILENO  CORPO  TAMPA E FUNDO EM POLIPROPILENO,1
"CANETA MARCA TEXTO AMARELA COM TINTA A BASE DE AGUA, PONTA SINTETICA CHANFRADA, TRACO: 1-3.5 MM, NA COR AMARELA FLUORESCENTE, COM SECAGEM RAPIDA. - CANETA MARCA TEXTO AMARELA COM TINTA A BASE DE AGUA, PONTA SINTETICA CHANFRADA, TRACO: 1-3.5 MM, NA COR AMARELA FLUORESCENTE, COM SECAGEM RAPIDA. (870014386)",1
